dataset	similar_to	granularity	similarity
Wm	Md	7	0.12096063792705536
De	Md	7	0.11893387138843536
So	Md	7	0.09239695221185684
Hc	Md	7	0.12236737459897995
Md	Hc	7	0.09973011910915375
Po	Hc	7	0.044788047671318054
Ni	Hc	7	0.16634227335453033
Ib	Hc	7	0.07655896991491318
Wm	Hc	7	0.07411408424377441
De	Hc	7	0.10000712424516678
So	Hc	7	0.037297409027814865
Hc	Hc	7	0.45937874913215637
Md	Md	8	0.4293929636478424
Po	Md	8	0.07432553917169571
Ni	Md	8	0.10544400662183762
Ib	Md	8	0.0985509604215622
Wm	Md	8	0.12103530764579773
De	Md	8	0.11968454718589783
So	Md	8	0.08549463003873825
Hc	Md	8	0.12068157643079758
Md	Hc	8	0.10169763118028641
Po	Hc	8	0.042198169976472855
Ni	Hc	8	0.09213950484991074
Ib	Hc	8	0.053047798573970795
Wm	Hc	8	0.058962319046258926
De	Hc	8	0.10669712722301483
So	Hc	8	0.03122525103390217
Hc	Hc	8	0.3675130009651184
Md	Md	9	0.32244545221328735
Po	Md	9	0.05888495594263077
Ni	Md	9	0.08675717562437057
Ib	Md	9	0.06617487967014313
Wm	Md	9	0.09506643563508987
De	Md	9	0.11898402869701385
So	Md	9	0.07837413996458054
Hc	Md	9	0.11501744389533997
Md	Hc	9	0.06687600910663605
Po	Hc	9	0.02953103929758072
Ni	Hc	9	0.06393393874168396
Ib	Hc	9	0.026212947443127632
Wm	Hc	9	0.027271289378404617
De	Hc	9	0.07865707576274872
So	Hc	9	0.032640427350997925
Hc	Hc	9	0.2704263925552368
Md	Md	10	0.34630024433135986
Po	Md	10	0.061068397015333176
Ni	Md	10	0.08223553746938705
Ib	Md	10	0.05056581273674965
Wm	Md	10	0.07681075483560562
De	Md	10	0.04241941496729851
So	Md	10	0.08025364577770233
Hc	Md	10	0.09216752648353577
Md	Hc	10	0.1284625381231308
Po	Hc	10	0.03396794945001602
Ni	Hc	10	0.09999840706586838
Ib	Hc	10	0.06624549627304077
Wm	Hc	10	0.0932256355881691
De	Hc	10	0.04315789043903351
So	Hc	10	0.023822886869311333
Hc	Hc	10	0.3951863646507263
Md	Md	11	0.45808690786361694
Po	Md	11	0.07420506328344345
Ni	Md	11	0.07792806625366211
Ib	Md	11	0.08115346729755402
Wm	Md	11	0.10084880143404007
De	Md	11	0.06998899579048157
So	Md	11	0.08742789179086685
