participant_id	K	symmetry	dcbc_indiv	dcbc_group
Demand_sub-11	10	Asymmetric	0.15805510716666668	0.08331480958333333
Demand_sub-11	10	Symmetric	0.10236480599999999	0.05311761408333333
Demand_sub-11	20	Asymmetric	0.16032217	0.07837081418333333
Demand_sub-11	20	Symmetric	0.11420503666666666	0.05670148991666666
Demand_sub-11	34	Asymmetric	0.1921390441666667	0.07933038416666667
Demand_sub-11	34	Symmetric	0.11961482708333333	0.053408914499999995
Demand_sub-11	40	Asymmetric	0.22537589416666667	0.10291100108333333
Demand_sub-11	40	Symmetric	0.118722592	0.05723242783333334
Demand_sub-11	68	Asymmetric	0.1876141675	0.07805179058333334
Demand_sub-11	68	Symmetric	0.13235221383333332	0.06372556266666667
Demand_sub-12	10	Asymmetric	0.16295640749999998	0.07115960925833333
Demand_sub-12	10	Symmetric	0.13935389083333333	0.08933033016666668
